Versione	10																
ID Sito	Titolo	Series	ISBN	ISSN	Publisher	Published	Volume Link	Cover Link									
vol3	ERUDITORUM ACTA 2024	De Cifris Koine	979-12-81863-02-6	3034-9796	De Cifris Press	September 2024	https://drive.google.com/file/d/1t-IVZM1sTo2ADMnHIdGMnpwpc_8JGAwg	https://drive.google.com/file/d/1SGAx1OPMQt3J52Hvip-9kSBF-OmPaSOT									
ID Sito	Titolo Articolo	Page Range	DOI	PDF Link	PDF Revised	Abstract	Note	Keywords	Bib Notes	Author Name	Author Surname	Author Affiliation	Author ORCID	Author Name	Author Surname	Author Affiliation	Author ORCID
I01	Introduzione a De Cifris Eruditorum	2-4	10.69091/koine/vol-3-I01	https://drive.google.com/file/d/1EU-3DccJU7jkyAbFza8HBSbsYtAvsuqF						Antonino	Alì			Massimiliano	Sala		
E01	Francesci-Partenio, una disputa crittografica nel Rinascimento	5-23	10.69091/koine/vol-3-I01	https://drive.google.com/file/d/1wy0Abhg0l1_QCViK5ty0hAbKkCUi1OT4						Paolo	Bonavoglia						
E02	Scrivere per nascondere, leggere per scoprire. Le origini della crittografia	24-34	10.69091/koine/vol-3-I01	https://drive.google.com/file/d/1BXJAAZbEknqH8sxUDKC21Eovi-ciI_H9						Marco	Moraglio						
E03	Epigrafi cifrate nelle chiese antiche	35-51	10.69091/koine/vol-3-I01	https://drive.google.com/file/d/1u8VbvL1FQFchUrpe4T9UXLpQ7428bOVe						Cosimo	Palma						
E04	Il nuovo framework giuridico cyber dell’Italia.\nLa crittografia come strumento di cybersicurezza e per l’autonomia strategica nazionale	52-58	10.69091/koine/vol-3-I01	https://drive.google.com/file/d/1jZWPY32iGWw81o58CBmyx1vavr6w2beH						Marcello	Albergoni						
E05	Human Rights Implications of Encryption Backdoors	59-72	10.69091/koine/vol-3-I01	https://drive.google.com/file/d/1WSvJW52DtrXJ4fsHKYvw2ofSxgio49tr						Antonino	Alì						
